Analyzing c:\Users\zaxod\OneDrive\Documents\APPS\financial-dashboard\backend\uploads\PME_Cabanes_Detaille.xlsx...
Columns found: ['Date', 'Type', 'Description', 'Montant (€)', 'Catégorie', 'Mois']
Mapped columns: {'date': 'date', 'amount': 'montant (€)', 'description': 'description', 'category': 'catégorie'}

--- ALL Transactions ---
Idx | RawDate | ParsedDate | Description | RawAmount | ParsedAmount | Type | FinalAmount
264 | 2025-10-14 | 2025-10-14 | Achat marchandises (cabane) | 3831 | 3831 | PURCHASE | -3831
265 | 2025-10-05 | 2025-05-10 | Facture électricité | 831 | 831 | PURCHASE | -831
266 | 2025-10-10 | 2025-10-10 | Honoraires divers | 2050 | 2050 | PURCHASE | -2050
267 | 2025-10-15 | 2025-10-15 | Consommables atelier | 1040 | 1040 | PURCHASE | -1040
268 | 2025-10-20 | 2025-10-20 | Autres charges | 1820 | 1820 | PURCHASE | -1820
269 | 2025-11-09 | 2025-09-11 | Vente cabane de jardin | 9863 | 9863 | SALE | 9863
270 | 2025-11-20 | 2025-11-20 | Vente cabane de jardin | 8815 | 8815 | SALE | 8815
271 | 2025-11-21 | 2025-11-21 | Vente cabane de jardin | 7587 | 7587 | SALE | 7587
272 | 2025-11-14 | 2025-11-14 | Vente cabane de jardin | 4623 | 4623 | SALE | 4623
273 | 2025-11-17 | 2025-11-17 | Vente cabane de jardin | 7126 | 7126 | SALE | 7126
274 | 2025-11-06 | 2025-06-11 | Vente cabane de jardin | 11164 | 11164 | SALE | 11164
275 | 2025-11-18 | 2025-11-18 | Vente cabane de jardin | 4256 | 4256 | SALE | 4256
276 | 2025-11-11 | 2025-11-11 | Vente cabane de jardin | 10158 | 10158 | SALE | 10158
277 | 2025-11-15 | 2025-11-15 | Vente cabane de jardin | 11000 | 11000 | SALE | 11000
278 | 2025-11-19 | 2025-11-19 | Vente cabane de jardin | 5815 | 5815 | SALE | 5815
279 | 2025-11-24 | 2025-11-24 | Vente cabane de jardin | 10448 | 10448 | SALE | 10448
280 | 2025-11-15 | 2025-11-15 | Vente cabane de jardin | 5072 | 5072 | SALE | 5072
281 | 2025-11-09 | 2025-09-11 | Vente cabane de jardin | 5001 | 5001 | SALE | 5001
282 | 2025-11-23 | 2025-11-23 | Vente cabane de jardin | 8078 | 8078 | SALE | 8078
283 | 2025-11-01 | 2025-01-11 | Vente cabane de jardin | 6209 | 6209 | SALE | 6209
284 | 2025-11-05 | 2025-05-11 | Vente cabane de jardin | 4785 | 4785 | SALE | 4785
285 | 2025-11-19 | 2025-11-19 | Achat marchandises (cabane) | 1935 | 1935 | PURCHASE | -1935
286 | 2025-11-28 | 2025-11-28 | Achat marchandises (cabane) | 3523 | 3523 | PURCHASE | -3523
287 | 2025-11-19 | 2025-11-19 | Achat marchandises (cabane) | 4982 | 4982 | PURCHASE | -4982
288 | 2025-11-20 | 2025-11-20 | Achat marchandises (cabane) | 2063 | 2063 | PURCHASE | -2063
289 | 2025-11-15 | 2025-11-15 | Achat marchandises (cabane) | 4109 | 4109 | PURCHASE | -4109
290 | 2025-11-18 | 2025-11-18 | Achat marchandises (cabane) | 2121 | 2121 | PURCHASE | -2121
291 | 2025-11-21 | 2025-11-21 | Achat marchandises (cabane) | 3549 | 3549 | PURCHASE | -3549
292 | 2025-11-03 | 2025-03-11 | Achat marchandises (cabane) | 2879 | 2879 | PURCHASE | -2879
293 | 2025-11-05 | 2025-05-11 | Facture électricité | 1277 | 1277 | PURCHASE | -1277
294 | 2025-11-10 | 2025-10-11 | Honoraires divers | 2803 | 2803 | PURCHASE | -2803
295 | 2025-11-15 | 2025-11-15 | Consommables atelier | 1433 | 1433 | PURCHASE | -1433
296 | 2025-11-20 | 2025-11-20 | Autres charges | 1064 | 1064 | PURCHASE | -1064
297 | 2025-12-20 | 2025-12-20 | Vente cabane de jardin | 8015 | 8015 | SALE | 8015
298 | 2025-12-05 | 2025-05-12 | Vente cabane de jardin | 11601 | 11601 | SALE | 11601
299 | 2025-12-25 | 2025-12-25 | Vente cabane de jardin | 9949 | 9949 | SALE | 9949
300 | 2025-12-19 | 2025-12-19 | Vente cabane de jardin | 7887 | 7887 | SALE | 7887
301 | 2025-12-27 | 2025-12-27 | Vente cabane de jardin | 7789 | 7789 | SALE | 7789
302 | 2025-12-24 | 2025-12-24 | Vente cabane de jardin | 9957 | 9957 | SALE | 9957
303 | 2025-12-05 | 2025-05-12 | Vente cabane de jardin | 6285 | 6285 | SALE | 6285
304 | 2025-12-12 | 2025-12-12 | Vente cabane de jardin | 10569 | 10569 | SALE | 10569
305 | 2025-12-01 | 2025-01-12 | Vente cabane de jardin | 7537 | 7537 | SALE | 7537
306 | 2025-12-27 | 2025-12-27 | Vente cabane de jardin | 8428 | 8428 | SALE | 8428
307 | 2025-12-25 | 2025-12-25 | Vente cabane de jardin | 11367 | 11367 | SALE | 11367
308 | 2025-12-19 | 2025-12-19 | Vente cabane de jardin | 7191 | 7191 | SALE | 7191
309 | 2025-12-27 | 2025-12-27 | Vente cabane de jardin | 4738 | 4738 | SALE | 4738
310 | 2025-12-01 | 2025-01-12 | Vente cabane de jardin | 8685 | 8685 | SALE | 8685
311 | 2025-12-23 | 2025-12-23 | Achat marchandises (cabane) | 1582 | 1582 | PURCHASE | -1582
312 | 2025-12-17 | 2025-12-17 | Achat marchandises (cabane) | 2986 | 2986 | PURCHASE | -2986
313 | 2025-12-01 | 2025-01-12 | Achat marchandises (cabane) | 3787 | 3787 | PURCHASE | -3787
314 | 2025-12-03 | 2025-03-12 | Achat marchandises (cabane) | 3304 | 3304 | PURCHASE | -3304
315 | 2025-12-20 | 2025-12-20 | Achat marchandises (cabane) | 3674 | 3674 | PURCHASE | -3674
316 | 2025-12-10 | 2025-10-12 | Achat marchandises (cabane) | 2957 | 2957 | PURCHASE | -2957
317 | 2025-12-12 | 2025-12-12 | Achat marchandises (cabane) | 3297 | 3297 | PURCHASE | -3297
318 | 2025-12-11 | 2025-11-12 | Achat marchandises (cabane) | 2447 | 2447 | PURCHASE | -2447
319 | 2025-12-08 | 2025-08-12 | Achat marchandises (cabane) | 2656 | 2656 | PURCHASE | -2656
320 | 2025-12-10 | 2025-10-12 | Achat marchandises (cabane) | 2497 | 2497 | PURCHASE | -2497
321 | 2025-12-01 | 2025-01-12 | Achat marchandises (cabane) | 4216 | 4216 | PURCHASE | -4216
322 | 2025-12-22 | 2025-12-22 | Achat marchandises (cabane) | 2630 | 2630 | PURCHASE | -2630
323 | 2025-12-05 | 2025-05-12 | Facture électricité | 1081 | 1081 | PURCHASE | -1081
324 | 2025-12-10 | 2025-10-12 | Honoraires divers | 3860 | 3860 | PURCHASE | -3860
325 | 2025-12-15 | 2025-12-15 | Consommables atelier | 1021 | 1021 | PURCHASE | -1021
326 | 2025-12-20 | 2025-12-20 | Autres charges | 2247 | 2247 | PURCHASE | -2247
